origin,airline,weekday,duration(min),dep_minutes,route_weekday,pred_price
BRU,VY,Wednesday,125,1030.0,BRU_Wednesday,91.50674
BRU,UX,Wednesday,350,645.0,BRU_Wednesday,108.97989
BRU,UX,Wednesday,1300,1135.0,BRU_Wednesday,114.88506
BRU,UX,Wednesday,840,1135.0,BRU_Wednesday,114.70112
BRU,A3,Wednesday,1290,1180.0,BRU_Wednesday,135.98242
BRU,A3,Wednesday,885,1180.0,BRU_Wednesday,140.57271
BRU,A3,Wednesday,1380,685.0,BRU_Wednesday,136.15373
BRU,A3,Wednesday,1785,685.0,BRU_Wednesday,138.29195
BRU,VY,Thursday,125,580.0,BRU_Thursday,92.06242
BRU,IB,Thursday,120,930.0,BRU_Thursday,90.18906
BRU,IB,Thursday,124,1315.0,BRU_Thursday,91.2502
BRU,IB,Thursday,125,580.0,BRU_Thursday,92.6215
BRU,IB,Thursday,125,1030.0,BRU_Thursday,92.12976
BRU,VY,Thursday,120,930.0,BRU_Thursday,89.354866
BRU,VY,Thursday,124,1315.0,BRU_Thursday,90.611244
BRU,VY,Thursday,125,1030.0,BRU_Thursday,91.49081
BRU,UX,Thursday,350,645.0,BRU_Thursday,108.96396
BRU,UX,Thursday,1300,1135.0,BRU_Thursday,115.28826
BRU,A3,Thursday,1765,705.0,BRU_Thursday,137.38506
BRU,A3,Thursday,885,1180.0,BRU_Thursday,140.5568
BRU,A3,Thursday,1290,1180.0,BRU_Thursday,136.38564
BRU,A3,Thursday,1360,705.0,BRU_Thursday,136.90062
BRU,UX,Thursday,840,1135.0,BRU_Thursday,115.915276
BRU,IB,Friday,120,910.0,BRU_Friday,90.20499
BRU,IB,Friday,124,1315.0,BRU_Friday,91.26613
BRU,IB,Friday,125,580.0,BRU_Friday,92.63743
BRU,IB,Friday,125,1030.0,BRU_Friday,92.14569
BRU,VY,Friday,120,910.0,BRU_Friday,89.3708
BRU,VY,Friday,124,1315.0,BRU_Friday,90.627174
BRU,VY,Friday,125,580.0,BRU_Friday,92.078354
BRU,VY,Friday,125,1030.0,BRU_Friday,91.50674
BRU,UX,Friday,350,645.0,BRU_Friday,108.97989
BRU,UX,Friday,1330,645.0,BRU_Friday,117.22373
BRU,AZ,Friday,955,1135.0,BRU_Friday,125.0781
BRU,AZ,Friday,1260,1135.0,BRU_Friday,124.32775
BRU,A3,Friday,885,1180.0,BRU_Friday,140.57271
BRU,A3,Friday,1380,685.0,BRU_Friday,136.15373
BRU,JU,Friday,620,565.0,BRU_Friday,138.41475
BRU,VY,Saturday,120,910.0,BRU_Saturday,89.45883
BRU,VY,Saturday,125,580.0,BRU_Saturday,92.21787
BRU,IB,Saturday,120,910.0,BRU_Saturday,90.29302
BRU,IB,Saturday,124,1315.0,BRU_Saturday,91.354164
BRU,IB,Saturday,125,580.0,BRU_Saturday,92.77695
BRU,VY,Saturday,124,1315.0,BRU_Saturday,90.71521
BRU,UX,Saturday,350,645.0,BRU_Saturday,109.27059
BRU,UX,Saturday,1330,645.0,BRU_Saturday,117.779465
BRU,A3,Saturday,1290,1180.0,BRU_Saturday,136.22165
BRU,IB,Saturday,760,1185.0,BRU_Saturday,149.14668
BRU,IB,Saturday,840,1185.0,BRU_Saturday,149.0382
BRU,AZ,Saturday,700,695.0,BRU_Saturday,127.15808
BRU,AZ,Saturday,955,1135.0,BRU_Saturday,124.07515
BRU,AZ,Saturday,1260,1135.0,BRU_Saturday,123.90784
BRU,AZ,Saturday,1395,695.0,BRU_Saturday,125.170204
BRU,IB,Sunday,120,910.0,BRU_Sunday,90.20499
BRU,IB,Sunday,124,1315.0,BRU_Sunday,91.26613
BRU,IB,Sunday,125,580.0,BRU_Sunday,92.63743
BRU,IB,Sunday,125,1020.0,BRU_Sunday,92.14569
BRU,VY,Sunday,120,910.0,BRU_Sunday,89.3708
BRU,VY,Sunday,124,1315.0,BRU_Sunday,90.627174
BRU,VY,Sunday,125,580.0,BRU_Sunday,92.078354
BRU,VY,Sunday,125,1020.0,BRU_Sunday,91.50674
BRU,UX,Sunday,350,645.0,BRU_Sunday,110.21155
BRU,UX,Sunday,1330,645.0,BRU_Sunday,117.22373
BRU,A3,Sunday,885,1180.0,BRU_Sunday,140.57271
BRU,A3,Sunday,1290,1180.0,BRU_Sunday,135.98242
BRU,A3,Sunday,1380,685.0,BRU_Sunday,136.15373
BRU,IB,Sunday,340,420.0,BRU_Sunday,150.25612
BRU,AZ,Sunday,955,1135.0,BRU_Sunday,122.69384
BRU,VY,Monday,125,580.0,BRU_Monday,91.85888
BRU,IB,Monday,120,910.0,BRU_Monday,89.98551
BRU,IB,Monday,124,1315.0,BRU_Monday,91.14679
BRU,IB,Monday,125,580.0,BRU_Monday,92.41795
BRU,IB,Monday,125,1030.0,BRU_Monday,91.926216
BRU,VY,Monday,120,910.0,BRU_Monday,89.15132
BRU,VY,Monday,124,1315.0,BRU_Monday,90.507835
