origin,destination,date,price,airline,duration,segments,duration_min,departure_dt,arrival_dt,dep_date,dep_time,dep_minutes,arr_date,arr_time,arr_minutes,weekday
ZRH,CDG,2026-04-10,122,KLM,27000,1,450.0,2026-04-10 14:20:00,2026-04-10 21:50:00,2026-04-10,14:20:00,860,2026-04-10,21:50:00,1310,Friday
ZRH,CDG,2026-04-10,130,Condor,16200,1,270.0,2026-04-10 11:20:00,2026-04-10 15:50:00,2026-04-10,11:20:00,680,2026-04-10,15:50:00,950,Friday
ZRH,CDG,2026-04-10,141,KLM,14100,1,235.0,2026-04-10 07:00:00,2026-04-10 10:55:00,2026-04-10,07:00:00,420,2026-04-10,10:55:00,655,Friday
ZRH,LON,2026-03-12,93,easy,6600,0,110.0,2026-03-12 20:45:00,2026-03-12 21:35:00,2026-03-12,20:45:00,1245,2026-03-12,21:35:00,1295,Thursday
ZRH,LON,2026-03-12,165,easy,6300,0,105.0,2026-03-12 11:20:00,2026-03-12 12:05:00,2026-03-12,11:20:00,680,2026-03-12,12:05:00,725,Thursday
ZRH,LON,2026-03-12,170,easy,6300,0,105.0,2026-03-12 20:15:00,2026-03-12 21:00:00,2026-03-12,20:15:00,1215,2026-03-12,21:00:00,1260,Thursday
ZRH,LON,2026-03-12,209,British Airways,6000,0,100.0,2026-03-12 10:10:00,2026-03-12 10:50:00,2026-03-12,10:10:00,610,2026-03-12,10:50:00,650,Thursday
ZRH,LON,2026-03-12,211,British Airways,6000,0,100.0,2026-03-12 14:50:00,2026-03-12 15:30:00,2026-03-12,14:50:00,890,2026-03-12,15:30:00,930,Thursday
ZRH,LON,2026-03-12,195,Vueling,45300,1,755.0,2026-03-12 21:35:00,2026-03-13 09:10:00,2026-03-12,21:35:00,1295,2026-03-13,09:10:00,550,Thursday
ZRH,LON,2026-03-12,198,Tap Air Portugal,69300,1,1155.0,2026-03-12 15:45:00,2026-03-13 10:00:00,2026-03-12,15:45:00,945,2026-03-13,10:00:00,600,Thursday
ZRH,LON,2026-03-12,202,Vueling,42900,1,715.0,2026-03-12 21:35:00,2026-03-13 08:30:00,2026-03-12,21:35:00,1295,2026-03-13,08:30:00,510,Thursday
ZRH,LON,2026-03-12,202,Vueling,56100,1,935.0,2026-03-12 21:35:00,2026-03-13 12:10:00,2026-03-12,21:35:00,1295,2026-03-13,12:10:00,730,Thursday
ZRH,LON,2026-03-12,204,Eurowings,19500,1,325.0,2026-03-12 08:40:00,2026-03-12 13:05:00,2026-03-12,08:40:00,520,2026-03-12,13:05:00,785,Thursday
ZRH,LON,2026-03-13,177,easy,6600,0,110.0,2026-03-13 16:00:00,2026-03-13 16:50:00,2026-03-13,16:00:00,960,2026-03-13,16:50:00,1010,Friday
ZRH,LON,2026-03-13,204,easy,6300,0,105.0,2026-03-13 10:45:00,2026-03-13 11:30:00,2026-03-13,10:45:00,645,2026-03-13,11:30:00,690,Friday
ZRH,LON,2026-03-13,244,British Airways,6000,0,100.0,2026-03-13 10:10:00,2026-03-13 10:50:00,2026-03-13,10:10:00,610,2026-03-13,10:50:00,650,Friday
